# ----------------------------------------
# Adquisición de tráfico: Grupo de canales principal de la sesión (Grupo de canales predeterminado)
# Cuenta: Luuma
# Propiedad: www.luumarooftop.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260521
# Fecha de finalización: 20260818
Grupo de canales principal de la sesión (Grupo de canales predeterminado),Sesiones,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por sesión,Eventos por sesión,Número de eventos,Eventos clave,Tasa de evento clave de sesión,Total de ingresos
Organic Search,3523,2055,0.5833096792506387,76.16661935850128,4.388589270508089,15461,64,0.015895543570820323,0
Direct,3128,1657,0.5297314578005116,95.12212276214834,4.383951406649617,13713,40,0.01118925831202046,0
Organic Social,1576,1175,0.7455583756345178,72.55456852791878,6.696065989847716,10553,29,0.015862944162436547,0
Unassigned,87,6,0.06896551724137931,61.57471264367816,2.67816091954023,233,2,0.022988505747126436,0
Referral,74,47,0.6351351351351351,72.28378378378379,4.797297297297297,355,1,0.013513513513513514,0
AI Assistant,72,50,0.6944444444444444,76.18055555555556,6.972222222222222,502,6,0.06944444444444445,0
Cross-network,3,0,0,0,3.3333333333333335,10,0,0,0
Paid Search,3,1,0.3333333333333333,0,3.3333333333333335,10,1,0.3333333333333333,0
