# ----------------------------------------
# Tráfico de búsqueda orgánica de Google: Página de destino y cadena de consulta
# Cuenta: Luuma
# Propiedad: www.luumarooftop.com
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260521
# Fecha de finalización: 20260818
Página de destino y cadena de consulta,Clics de la Búsqueda de Google orgánica,Impresiones de la Búsqueda de Google orgánica,Porcentaje de clics de la Búsqueda de Google orgánica,Posición media en la Búsqueda de Google orgánica,Usuarios activos,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Ingresos publicitarios
/recetas-cocina/ceviche-manabita-receta-original/,7,494,0.01417004048582996,6.0951417004048585,7,3,0.42857142857142855,21,25,0,0
/cocteles-mixologia/cervezas-artesanales-ecuador-manta/,6,1010,0.005940594059405941,7.72970297029703,4,3,0.75,45.25,18,0,0
/eventos-entretenimiento/actividades-pareja-manta-romantico/,6,158,0.0379746835443038,5.968354430379747,6,5,0.8333333333333334,46.833333333333336,27,0,0
/eventos-entretenimiento/fiestas-fin-ano-manta/,6,60,0.1,7.183333333333334,5,5,1,34.4,26,0,0
/gastronomia-manta/sushi-en-manta-ecuador/,6,2823,0.0021253985122210413,7.4778604321643645,6,1,0.14285714285714285,4,21,0,0
/recetas-cocina/ceviche-en-manta-ecuador/,6,1259,0.004765687053216839,8.820492454328832,2,2,0.4,25.5,17,0,0
/vida-en-manta/turismo-gastronomico-manta/,6,391,0.015345268542199489,12.388746803069054,3,3,0.75,79.33333333333333,18,0,0
/bebidas/,5,342,0.014619883040935672,9.45906432748538,21,221,0.775438596491228,2760.8571428571427,1503,2,0
/cocteles-mixologia/rooftop-bar-ecuador/,5,3843,0.0013010668748373666,8.52120739005985,4,3,0.75,178.25,17,0,0
/gastronomia-manta/rooftop-manta-experiencia-gastronomica/,5,476,0.01050420168067227,6.052521008403361,8,4,0.4,25.875,34,0,0
/eventos-entretenimiento/restaurantes-musica-vivo-manta/,4,324,0.012345679012345678,7.2746913580246915,7,5,0.18518518518518517,18.571428571428573,70,0,0
/gastronomia-manta/restaurantes-manta-abiertos-hoy/,4,455,0.008791208791208791,7.683516483516484,5,2,0.4,26.8,19,0,0
/gastronomia-manta/restaurantes-vegetarianos-veganos-manta/,4,52,0.07692307692307693,4.403846153846153,4,2,0.5,48,17,0,0
/vida-en-manta/restaurantes-vista-al-mar-ecuador/,4,255,0.01568627450980392,6.196078431372549,4,3,0.75,30,32,0,0
/vida-en-manta/visitar-manta-desde-guayaquil-quito/,4,3412,0.0011723329425556857,7.67936694021102,4,1,0.2,25.75,15,0,0
/cocteles-mixologia/happy-hour-en-manta/,3,128,0.0234375,7.2578125,3,1,0.25,7.666666666666667,12,0,0
/eventos-entretenimiento/cena-romantica-manta-vista-al-mar/,3,94,0.031914893617021274,6.76595744680851,1,0,0,9,4,0,0
/galeria/,3,201,0.014925373134328358,6.945273631840796,8,11,0.44,236.125,118,1,0
/gastronomia-manta/alitas-de-pollo-manta/,3,566,0.00530035335689046,7.270318021201414,3,1,0.3333333333333333,4.333333333333333,12,0,0
/gastronomia-manta/mariscos-manta-ceviches-platos-mar/,3,859,0.0034924330616996507,9.10011641443539,3,2,0.6666666666666666,17,17,0,0
/recetas-cocina/encocado-pescado-receta-manabita/,3,230,0.013043478260869565,6.791304347826087,3,2,0.6666666666666666,83.33333333333333,12,0,0
/vida-en-manta/malecon-murcielago-manta-que-hacer/,3,192,0.015625,6.015625,3,3,1,69.66666666666667,13,0,0
/cocteles-mixologia/coctel-autor-luuma-maracuya/,2,213,0.009389671361502348,7.305164319248826,2,1,0.5,18,7,0,0
/cocteles-mixologia/cocteles-artesanales-manta-mixologia/,2,308,0.006493506493506494,6.935064935064935,2,1,0.5,13,11,0,0
/contacto/,2,313,0.006389776357827476,4.5303514376996805,6,10,0.9090909090909091,27.5,41,10,0
/eventos-entretenimiento/musica-vivo-manta-este-mes/,2,90,0.022222222222222223,7.011111111111111,2,1,0.5,28.5,7,0,0
/gastronomia-manta/pastas-en-manta-restaurantes/,2,460,0.004347826086956522,7.360869565217391,2,2,0.6666666666666666,17.5,11,0,0
/gastronomia-manta/pescado-frito-en-manta/,2,119,0.01680672268907563,6.235294117647059,2,1,0.5,6,7,0,0
/gastronomia-manta/rooftop-manta-cuales-hay/,2,230,0.008695652173913044,5.495652173913044,1,1,1,185,4,0,0
/menu-almuerzo/,2,101,0.019801980198019802,9.108910891089108,24,132,0.4230769230769231,903.125,1171,1,0
/nuestra-historia/,2,262,0.007633587786259542,9.763358778625955,3,3,1,17.666666666666668,17,1,0
/vida-en-manta/san-valentin-manta-restaurantes/,2,22,0.09090909090909091,7.7727272727272725,2,1,0.5,15,11,1,0
/category/vida-en-manta/,1,327,0.0030581039755351682,8.110091743119266,0,0,0,0,0,0,0
/cocteles-mixologia/vinos-manabi-maridaje-carta-luuma/,1,32,0.03125,4.625,1,1,1,83,6,0,0
/eventos-entretenimiento/bares-flavio-reyes-manta-recomendados/,1,200,0.005,6.895,1,0,0,0,3,0,0
/eventos-entretenimiento/celebrar-cumpleanos-manta-restaurantes/,1,45,0.022222222222222223,6.066666666666666,0,0,0,0,0,0,0
/eventos-entretenimiento/feriados-largos-manta-que-hacer/,1,95,0.010526315789473684,8.157894736842106,1,1,1,30,4,0,0
/eventos-luuma/tributo-a-luis-miguel-y-ricardo-montaner-en-vivo/,1,3,0.3333333333333333,12,1,1,1,45,12,1,0
/eventos/,1,60,0.016666666666666666,7.716666666666667,1,1,1,108,6,0,0
/gastronomia-manta/almuerzo-en-manta/,1,218,0.0045871559633027525,8.146788990825687,0,0,0,0,0,0,0
/gastronomia-manta/comida-internacional-manta/,1,31,0.03225806451612903,7.290322580645161,0,0,0,0,0,0,0
/gastronomia-manta/menu-del-dia-manta/,1,163,0.006134969325153374,6.233128834355829,0,0,0,0,0,0,0
/gastronomia-manta/restaurantes-almorzar-manta/,1,275,0.0036363636363636364,8.581818181818182,2,0,0,0,6,0,0
/gastronomia-manta/restaurantes-cerca-malecon-manta/,1,141,0.0070921985815602835,12.099290780141844,1,0,0,0,3,0,0
/gastronomia-manta/restaurantes-con-terraza-manta/,1,288,0.003472222222222222,6.496527777777778,2,1,0.5,0,7,0,0
/gastronomia-manta/restaurantes-romanticos-manta/,1,23,0.043478260869565216,7.217391304347826,1,1,1,26,5,0,0
/gastronomia-manta/restaurantes-wifi-manta/,1,173,0.005780346820809248,3.7630057803468207,1,0,0,5,4,0,0
/recetas-cocina/salsa-mani-manabita-receta-base/,1,140,0.007142857142857143,5.571428571428571,1,0,0,6,4,0,0
/tag/que-hacer-ninos-manta/,1,14,0.07142857142857142,7.571428571428571,1,0,0,1,4,0,0
/tag/restaurantes-vegetarianos-manta/,1,6,0.16666666666666666,10.333333333333334,1,1,1,11,5,0,0
/category/cocteles-mixologia/,0,21,0,5.238095238095238,0,0,0,0,0,0,0
/category/eventos-entretenimiento/,0,9,0,7,0,0,0,0,0,0,0
/category/gastronomia-manta/,0,347,0,7.547550432276657,0,0,0,0,0,0,0
/category/recetas-cocina/,0,36,0,3.4722222222222223,0,0,0,0,0,0,0
/category/vida-en-manta/page/2/,0,2,0,6.5,0,0,0,0,0,0,0
/cocteles-mixologia/gin-tonic-manta-mejores-bares/,0,16,0,8.5,0,0,0,0,0,0,0
/cocteles-mixologia/maridaje-vinos-mariscos-manta/,0,9,0,8.333333333333332,0,0,0,0,0,0,0
/cocteles-mixologia/whisky-gastronomia-maridaje/,0,9,0,4.333333333333334,0,0,0,0,0,0,0
/eventos-entretenimiento/que-hacer-fin-de-semana-manta/,0,19,0,7.7894736842105265,0,0,0,0,0,0,0
/eventos-entretenimiento/restaurantes-grupos-grandes-manta/,0,130,0,6.776923076923077,1,1,0.5,20,7,0,0
/eventos-luuma/,0,2,0,8,0,0,0,0,0,0,0
/eventos-luuma/crispar-en-vivo/,0,1,0,4,0,0,0,0,0,0,0
/eventos-luuma/crispar-musica-en-vivo/,0,15,0,6.666666666666667,0,0,0,0,0,0,0
/eventos-luuma/dimas-y-randy-en-vivo/,0,10,0,13.5,0,0,0,0,0,0,0
/eventos-luuma/el-fantasma-azul-en-vivo/,0,1,0,5,0,0,0,0,0,0,0
/eventos-luuma/gareth-swing-jr-en-vivo-2/,0,1,0,8,0,0,0,0,0,0,0
/eventos-luuma/genesis-en-vivo-3/,0,12,0,6.5,0,0,0,0,0,0,0
/eventos-luuma/genesis-en-vivo-5/,0,20,0,6.65,0,0,0,0,0,0,0
/eventos-luuma/genesis-en-vivo/,0,4,0,6.75,1,1,1,0,4,0,0
/eventos-luuma/genesis-v-en-vivo/,0,1,0,9,0,0,0,0,0,0,0
/eventos-luuma/halloween-en-luuma/?nocache=1,0,2,0,7.5,0,0,0,0,0,0,0
/eventos-luuma/hilary-en-vivo-2/,0,16,0,7.1875,0,0,0,0,0,0,0
/eventos-luuma/hilary-en-vivo-6/,0,1,0,10,0,0,0,0,0,0,0
/eventos-luuma/hillary-en-vivo/,0,3,0,4.666666666666666,0,0,0,0,0,0,0
/eventos-luuma/luchito-show-band-en-vivo/,0,8,0,7.875,0,0,0,0,0,0,0
